interval, DVPL1, DVPL10, DVPL2, DVPL3, DVPL4, DVPL5, DVPL6, DVPL7, DVPL8, DVPL9, HOEL1, HOEL10, HOEL11, HOEL12, HOEL13, HOEL2, HOEL3, HOEL4, HOEL5, HOEL6, HOEL7, HOEL8, HOEL9,all_counters
00:00:00,29,42,42,14,35,39,222,43,30,395,102,13,65,66,48,97,,107,7,28,,134,,1558
00:10:00,28,42,41,14,36,24,224,24,33,371,48,10,62,60,61,83,,110,9,24,,143,,1447
00:20:00,22,39,28,8,29,16,184,26,31,411,31,11,76,68,24,70,,130,15,24,,121,,1364
00:30:00,19,16,31,9,41,16,199,18,44,302,48,5,97,37,31,45,,151,7,28,,152,,1296
00:40:00,17,46,34,7,44,13,171,43,28,264,26,7,52,57,31,73,,153,22,25,,146,,1259
00:50:00,18,12,24,8,39,13,142,30,34,274,27,11,28,70,37,53,,184,33,15,,149,,1201
01:00:00,18,18,22,10,40,14,129,19,28,260,27,7,16,46,27,51,,142,18,27,,199,,1118
01:10:00,25,22,42,5,21,16,138,19,31,278,54,3,57,12,26,55,,142,17,12,,180,,1155
01:20:00,26,22,23,1,11,5,95,10,25,299,65,5,87,10,39,69,,114,16,13,,153,,1088
01:30:00,9,22,15,9,19,6,97,16,14,242,39,7,71,24,35,83,,118,13,14,,216,,1069
01:40:00,11,16,23,7,37,15,106,21,39,247,24,7,38,14,24,72,,140,18,11,,201,,1071
01:50:00,6,50,39,13,35,26,95,39,48,230,26,6,29,13,14,43,,69,33,12,,154,,980
02:00:00,17,40,44,1,29,33,111,35,24,239,37,7,42,13,17,55,,68,24,3,,176,,1015
02:10:00,25,51,46,9,29,25,116,30,31,193,18,4,24,19,32,72,,50,4,5,,203,,986
02:20:00,7,26,39,3,29,7,96,26,29,196,29,9,42,24,26,61,,90,7,8,,210,,964
02:30:00,4,16,13,,9,12,101,13,6,152,16,8,42,12,47,53,,81,6,4,,174,,769
02:40:00,3,15,18,7,10,17,101,12,7,156,35,6,64,22,66,77,,78,10,12,,182,,898
02:50:00,3,5,12,10,11,4,89,13,9,142,33,11,58,29,31,67,,129,17,11,,228,,912
03:00:00,4,15,8,9,20,8,66,18,9,142,33,8,59,32,43,64,,151,32,6,,181,,908
03:10:00,7,17,12,6,14,3,83,16,20,161,26,20,31,27,48,44,,133,21,10,,179,,878
03:20:00,7,15,16,2,8,8,71,15,11,139,29,11,22,22,56,76,,138,31,4,,224,,905
03:30:00,4,27,11,13,16,10,87,31,38,144,35,34,20,26,28,71,,110,13,10,,188,,916
03:40:00,2,40,12,8,28,23,71,30,20,112,31,22,14,18,23,84,,98,8,7,,183,,834
03:50:00,11,22,7,19,12,12,79,33,38,111,52,17,22,36,40,78,,70,10,7,,173,,849
04:00:00,9,39,12,18,10,36,75,38,40,95,37,12,34,31,47,69,,102,19,7,,161,,891
04:10:00,8,29,19,8,7,12,92,13,29,110,21,16,49,28,55,86,,119,13,5,,157,,876
04:20:00,6,28,11,29,4,23,74,38,18,127,23,3,51,28,53,75,,114,11,3,,108,,827
04:30:00,3,23,6,7,11,18,66,23,11,106,26,8,34,10,57,57,,48,3,3,,150,,670
04:40:00,3,8,13,9,6,15,103,14,20,114,22,16,33,15,50,66,,64,4,7,,145,,727
04:50:00,4,27,8,26,15,14,93,29,10,95,33,79,29,15,85,95,,58,6,5,,168,,894
05:00:00,3,18,9,6,8,13,138,27,26,87,39,69,37,26,62,92,,40,7,8,,157,,872
05:10:00,21,10,15,7,11,18,188,15,18,81,52,61,30,27,66,94,,50,11,16,,127,,918
05:20:00,16,16,13,10,13,31,191,7,21,73,43,80,80,19,74,97,,53,9,4,,137,,987
05:30:00,15,9,12,17,4,34,217,14,37,69,23,55,41,30,85,108,,76,12,13,,122,,993
05:40:00,18,15,29,10,20,41,319,22,17,104,44,17,63,21,61,112,,74,9,29,,127,,1152
05:50:00,11,11,25,16,20,37,254,7,19,108,46,14,59,15,38,69,,62,10,20,,131,,972
06:00:00,20,26,29,24,27,58,330,26,36,95,48,72,69,39,42,63,,68,5,20,,107,,1204
