interval,percentage,triggers
00:00:00,0.003901817,667
00:10:00,0.003568378,610
00:20:00,0.003334386,570
00:30:00,0.00351573,601
00:40:00,0.003463082,592
00:50:00,0.003550829,607
01:00:00,0.003275888,560
01:10:00,0.003264189,558
01:20:00,0.003340236,571
01:30:00,0.003626876,620
01:40:00,0.00321154,549
01:50:00,0.00233407,399
02:00:00,0.002585612,442
02:10:00,0.002521264,431
02:20:00,0.002959999,506
02:30:00,0.002591462,443
02:40:00,0.00322909,552
02:50:00,0.003591778,614
03:00:00,0.003562529,609
03:10:00,0.003153042,539
03:20:00,0.003585928,613
03:30:00,0.003129643,535
03:40:00,0.002854703,488
03:50:00,0.002954149,505
04:00:00,0.003036046,519
04:10:00,0.00321154,549
04:20:00,0.002743556,469
04:30:00,0.002316521,396
04:40:00,0.002468616,422
04:50:00,0.003351936,573
05:00:00,0.003141343,537
05:10:00,0.003123793,534
05:20:00,0.003486481,596
05:30:00,0.003305137,565
05:40:00,0.003258339,557
05:50:00,0.002714307,464
06:00:00,0.003117944,533
06:10:00,0.003644426,623
06:20:00,0.003966165,678
06:30:00,0.004206007,719
06:40:00,0.004229406,723
06:50:00,0.004246955,726
07:00:00,0.00438735,750
07:10:00,0.003901817,667
07:20:00,0.005194623,888
07:30:00,0.004966481,849
07:40:00,0.005399366,923
07:50:00,0.005808852,993
08:00:00,0.005820552,995
08:10:00,0.006499128,1111
08:20:00,0.006247587,1068
08:30:00,0.006200789,1060
08:40:00,0.006598575,1128
08:50:00,0.006850116,1171
09:00:00,0.005966797,1020
09:10:00,0.007271302,1243
09:20:00,0.006891065,1178
09:30:00,0.008043476,1375
09:40:00,0.009289483,1588
09:50:00,0.009599523,1641
10:00:00,0.010044107,1717
10:10:00,0.009921262,1696
10:20:00,0.011243317,1922
10:30:00,0.012062289,2062
10:40:00,0.012489324,2135
10:50:00,0.012939759,2212
11:00:00,0.013150352,2248
11:10:00,0.013630035,2330
11:20:00,0.013641735,2332
11:30:00,0.01437881,2458
11:40:00,0.015478572,2646
11:50:00,0.016198098,2769
12:00:00,0.016437939,2810
12:10:00,0.016075252,2748
12:20:00,0.016566635,2832
12:30:00,0.016923473,2893
12:40:00,0.016168849,2764
12:50:00,0.01553707,2656
13:00:00,0.015273829,2611
13:10:00,0.015156833,2591
13:20:00,0.015455173,2642
13:30:00,0.015215331,2601
13:40:00,0.016081102,2749
13:50:00,0.014905292,2548
14:00:00,0.014612802,2498
14:10:00,0.0146713,2508
14:20:00,0.016098651,2752
14:30:00,0.015923157,2722
14:40:00,0.014337861,2451
14:50:00,0.013091854,2238
15:00:00,0.01349549,2307
15:10:00,0.012793514,2187
15:20:00,0.013460391,2301
15:30:00,0.013009956,2224
15:40:00,0.013214699,2259
15:50:00,0.011483158,1963
16:00:00,0.011114621,1900
16:10:00,0.009529325,1629
16:20:00,0.008447112,1444
16:30:00,0.008605057,1471
16:40:00,0.007879681,1347
16:50:00,0.007376598,1261
17:00:00,0.007446796,1273
17:10:00,0.006627824,1133
17:20:00,0.006627824,1133
17:30:00,0.005832251,997
17:40:00,0.005966797,1020
17:50:00,0.005545611,948
18:00:00,0.004176758,714
18:10:00,0.004352252,744
18:20:00,0.004545295,777
18:30:00,0.004241105,725
18:40:00,0.004001264,684
18:50:00,0.004170908,713
19:00:00,0.005171224,884
19:10:00,0.005346718,914
19:20:00,0.004867034,832
19:30:00,0.003562529,609
19:40:00,0.004328852,740
19:50:00,0.003123793,534
20:00:00,0.00323494,553
20:10:00,0.003960315,677
20:20:00,0.004439999,759
20:30:00,0.00468569,801
20:40:00,0.004521896,773
20:50:00,0.004065611,695
21:00:00,0.003486481,596
21:10:00,0.003445533,589
21:20:00,0.003913517,669
21:30:00,0.004206007,719
21:40:00,0.003650276,624
21:50:00,0.00438735,750
22:00:00,0.004352252,744
22:10:00,0.005808852,993
22:20:00,0.005358417,916
22:30:00,0.003445533,589
22:40:00,0.003761422,643
22:50:00,0.003743872,640
23:00:00,0.00351573,601
23:10:00,0.003591778,614
23:20:00,0.003638576,622
23:30:00,0.003170592,542
23:40:00,0.002790355,477
23:50:00,0.003158892,540
